text,labels
배우들 연기도 너무 좋았어요.,1
스토리가 탄탄하고 연출도 훌륭했어요.,1
정말 감동적인 영화였습니다. 눈물이 멈추질 않았어요.,1
끝까지 집중해서 봤습니다. 완전 추천해요!,1
감성과 메시지가 모두 살아있는 영화였어요.,1
오랜만에 이런 좋은 영화를 봐서 기분이 좋아요.,1
"음악, 연출, 연기 모두 완벽했어요.",1
시간 가는 줄 몰랐어요. 최고의 영화!,1
스토리 전개가 매끄럽고 감동적이었어요.,1
친구들에게 꼭 추천하고 싶은 영화예요.,1
지루해서 중간에 졸았어요.,0
배우 연기가 너무 어색해서 몰입이 안 됐어요.,0
스토리가 산만하고 전개가 엉성해요.,0
예고편이 다였네요. 본편은 별로예요.,0
너무 뻔한 이야기라 재미가 없었어요.,0
연출이 허술하고 대사도 부자연스러워요.,0
기대한 만큼 실망만 컸어요.,0
시간 아깝고 돈 아깝네요.,0
한 번 보고 다시는 보고 싶지 않아요.,0
결말도 어이없고 전체적으로 별로였어요.,0
