text,topic
신규 휴대폰 개통 시에는 본인 인증 및 USIM 등록 절차를 모두 완료해야 합니다.,개통해지
5G 품질 불만 고객에게는 커버리지 확인 후 LTE 전환 안내를 진행합니다.,장애지원
휴대폰 분실 신고 접수 시 즉시 통화 정지 및 위치 추적 요청을 활성화합니다.,고객지원
고객센터 상담 시 개인정보는 본인 확인 후 최소한의 범위 내에서 열람해야 합니다.,고객지원
"결합상품 해지 시 위약금, 요금 인상 여부를 고객에게 사전 고지해야 합니다.",개통해지
ARS 시스템은 매월 점검하며 장애 발생 시 즉시 전산팀에 보고합니다.,장애지원
데이터 무제한 요금제는 24GB 이후 속도제어 정책이 적용됩니다.,요금청구
기지국 점검은 월 1회 정기적으로 수행되며 장애 이력은 3년간 보관합니다.,장애지원
IPTV 고객의 장애 문의는 전원 리셋 및 셋탑박스 초기화 후 처리합니다.,장애지원
통신요금 자동이체 변경은 고객 본인의 인증을 거쳐야만 처리 가능합니다.,요금청구
광고성 메시지 수신 동의 여부는 고객 요청 시 즉시 변경해야 합니다.,개인정보
법인 고객의 VPN 서비스는 SLA(Service Level Agreement) 기준을 따릅니다.,기업서비스
데이터 쉐어링 유심은 동일 명의의 회선에 한해 최대 2개까지 발급 가능합니다.,기업서비스
미납 요금 발생 시 2회 이상 안내 후 요금 정지 절차에 들어갑니다.,요금청구
고객이 망 이탈 요청 시 번호 이동 및 해지 절차를 투명하게 고지해야 합니다.,개통해지
불법 스팸 신고 접수 시 한국인터넷진흥원(KISA)과 공조해 조치합니다.,기업서비스
내부 직원의 고객정보 조회는 업무 목적에 한해서만 허용됩니다.,개인정보
"신규 요금제 런칭 전에는 마케팅팀, 고객센터, 기술부서 간 사전 교육이 이뤄져야 합니다.",요금청구
"장기 고객 혜택 제공 기준은 가입 기간, 요금제 수준, 이용 이력에 따라 차등 적용됩니다.",요금청구
개인정보 파기 정책에 따라 고객 해지 후 90일 이내 관련 정보를 삭제해야 합니다.,개인정보
서비스 품질 민원은 지역망 상황과 트래픽 로그 분석 후 결과를 통보합니다.,장애지원
마이데이터 기반 서비스는 고객의 명시적 동의 없이는 연동할 수 없습니다.,개인정보
콜센터 통화 내용은 품질 개선 및 민원 대응 목적으로 6개월간 보관됩니다.,고객지원
와이파이 공유기 임대 제품은 반납 시 반드시 MAC 주소 확인이 필요합니다.,장애지원
"신규 상품 교육자료는 지점 단위로 공유되며, 출결은 LMS 시스템에 기록됩니다.",장애지원
해외 로밍 신청은 출국 1일 전까지 접수되어야 정상 처리가 가능합니다.,장애지원
고객 접점에서 확인된 오류는 VOC 시스템을 통해 수집 및 분류됩니다.,고객지원
실시간 요금 청구 오류 발생 시 즉시 청구서 재생성과 고객 고지 조치가 이뤄져야 합니다.,요금청구
협력업체 직원도 통신사 출입 시 보안 교육 이수와 출입증 패스가 필요합니다.,개인정보
"장애 대응 매뉴얼은 매 분기 검토하며, 주요 변경사항은 전사 공유 대상입니다.",장애지원
